Date,Close_fund,Close_rfr
2015-07-22,459.53,1.72
2015-07-23,455.02,1.72
2015-07-24,455.0,1.72
2015-07-27,442.7,1.72
2015-07-28,446.08,1.72
2015-07-29,448.27,1.72
2015-07-30,447.3,1.72
2015-07-31,450.0,1.72
2015-08-03,458.0,1.72
2015-08-04,458.12,1.72
2015-08-05,467.9,1.72
2015-08-06,469.0,1.72
2015-08-07,466.0,1.72
2015-08-10,469.35,1.72
2015-08-11,458.8,1.72
2015-08-12,444.44,1.72
2015-08-13,446.77,1.72
2015-08-14,443.84,1.72
2015-08-17,441.91,1.72
2015-08-18,440.0,1.72
2015-08-19,432.5,1.72
2015-08-20,423.0,1.72
2015-08-21,419.0,1.72
2015-08-24,397.0,1.72
2015-08-25,410.23,1.72
2015-08-26,408.62,1.72
2015-08-27,422.5,1.72
2015-08-28,418.61,1.72
2015-08-31,417.74,1.72
2015-09-01,408.36,1.72
2015-09-02,410.0,1.72
2015-09-03,417.66,1.72
2015-09-04,410.16,1.72
2015-09-07,412.76,1.72
2015-09-08,419.62,1.72
2015-09-09,419.43,1.72
2015-09-10,415.87,1.72
2015-09-11,411.5,1.72
2015-09-14,411.91,1.72
2015-09-15,411.73,1.72
2015-09-16,413.11,1.72
2015-09-17,415.0,1.72
2015-09-18,403.93,1.72
2015-09-21,401.83,1.72
2015-09-22,387.05,1.72
2015-09-23,392.01,1.72
2015-09-24,382.89,1.72
2015-09-25,395.01,1.72
2015-09-28,388.0,1.73
2015-09-29,383.22,1.73
2015-09-30,396.26,1.73
2015-10-01,391.7,1.73
2015-10-02,390.0,1.73
2015-10-05,402.6,1.73
2015-10-06,405.0,1.73
2015-10-07,410.41,1.73
2015-10-08,408.64,1.73
2015-10-09,410.82,1.73
2015-10-12,410.0,1.73
2015-10-13,408.6,1.73
2015-10-14,406.92,1.73
2015-10-15,410.26,1.73
2015-10-16,410.45,1.73
2015-10-19,416.0,1.73
2015-10-20,415.6,1.73
2015-10-21,424.21,1.73
2015-10-22,428.88,1.73
2015-10-23,442.21,1.73
2015-10-26,445.23,1.73
2015-10-27,442.59,1.73
2015-10-28,447.0,1.73
2015-10-29,444.0,1.73
2015-10-30,443.5,1.73
2015-11-02,449.5,1.73
2015-11-03,447.0,1.73
2015-11-04,443.0,1.73
2015-11-05,446.36,1.73
2015-11-06,452.8,1.73
2015-11-09,447.27,1.73
2015-11-10,442.33,1.73
2015-11-12,440.22,1.73
2015-11-13,437.0,1.73
2015-11-16,439.47,1.73
2015-11-17,445.02,1.73
2015-11-18,448.63,1.73
2015-11-19,455.5,1.73
2015-11-20,455.09,1.73
2015-11-23,454.0,1.73
2015-11-24,447.85,1.73
2015-11-25,458.65,1.73
2015-11-26,467.38,1.73
2015-11-27,463.39,1.73
2015-11-30,467.2,1.73
2015-12-01,466.11,1.73
2015-12-02,464.6,1.72
2015-12-03,453.14,1.72
2015-12-04,446.7,1.72
2015-12-07,453.0,1.72
2015-12-08,445.0,1.72
2015-12-09,444.51,1.72
2015-12-10,444.0,1.72
2015-12-11,432.1,1.72
2015-12-14,427.31,1.72
2015-12-15,438.72,1.72
2015-12-16,436.4,1.72
2015-12-17,444.38,1.72
2015-12-18,436.2,1.72
2015-12-21,434.42,1.72
2015-12-22,429.17,1.72
2015-12-23,439.46,1.72
2015-12-28,439.09,1.72
2015-12-29,440.58,1.72
2015-12-30,439.78,1.72
2016-01-04,426.81,1.72
2016-01-05,428.0,1.72
2016-01-07,416.0,1.72
2016-01-08,416.0,1.72
2016-01-11,418.0,1.72
2016-01-12,423.45,1.71
2016-01-13,422.0,1.71
2016-01-14,416.7,1.7
2016-01-15,405.96,1.7
2016-01-18,412.92,1.7
2016-01-19,412.92,1.7
2016-01-20,405.5,1.7
2016-01-21,409.5,1.7
2016-01-22,422.0,1.7
2016-01-25,418.0,1.7
2016-01-26,423.0,1.7
2016-01-27,422.19,1.7
2016-01-28,414.0,1.7
2016-01-29,415.08,1.7
2016-02-01,411.0,1.7
2016-02-02,403.25,1.7
2016-02-03,400.0,1.69
2016-02-04,401.55,1.69
2016-02-05,392.82,1.69
2016-02-08,384.12,1.69
2016-02-09,381.02,1.69
2016-02-10,385.97,1.69
2016-02-11,376.42,1.69
2016-02-12,376.3,1.69
2016-02-15,388.78,1.69
2016-02-16,384.78,1.69
2016-02-17,396.0,1.69
2016-02-18,401.72,1.69
2016-02-19,392.39,1.69
2016-02-22,403.55,1.69
2016-02-23,400.5,1.68
2016-02-24,388.3,1.68
2016-02-25,389.92,1.68
2016-02-26,399.0,1.68
2016-02-29,394.0,1.68
2016-03-01,403.0,1.68
2016-03-02,407.0,1.68
2016-03-03,406.2,1.67
2016-03-04,407.29,1.67
2016-03-07,406.5,1.67
2016-03-08,404.75,1.67
2016-03-09,404.01,1.67
2016-03-10,407.0,1.67
2016-03-11,406.5,1.67
2016-03-14,411.0,1.67
2016-03-15,410.5,1.67
2016-03-16,413.37,1.67
2016-03-17,406.79,1.67
2016-03-18,406.54,1.67
2016-03-21,405.46,1.67
2016-03-22,408.0,1.67
2016-03-23,414.0,1.67
2016-03-24,405.71,1.67
2016-03-29,402.0,1.67
2016-03-30,411.34,1.67
2016-03-31,408.0,1.67
2016-04-01,397.72,1.67
2016-04-04,400.93,1.67
2016-04-05,391.8,1.67
2016-04-06,393.42,1.67
2016-04-07,396.23,1.67
2016-04-08,400.22,1.67
2016-04-11,400.96,1.67
2016-04-12,402.74,1.67
2016-04-13,411.6,1.67
2016-04-14,415.97,1.67
2016-04-15,414.11,1.67
2016-04-18,417.98,1.67
2016-04-19,428.0,1.67
2016-04-20,427.39,1.67
2016-04-21,429.1,1.67
2016-04-22,434.31,1.67
2016-04-25,435.79,1.67
2016-04-26,432.85,1.67
2016-04-27,435.24,1.67
2016-04-28,432.0,1.67
2016-04-29,422.47,1.67
2016-05-02,427.98,1.67
2016-05-04,417.56,1.67
2016-05-05,418.84,1.67
2016-05-06,418.59,1.67
2016-05-09,426.93,1.67
2016-05-10,424.3,1.67
2016-05-11,421.33,1.67
2016-05-12,420.5,1.67
2016-05-13,419.07,1.67
2016-05-16,424.0,1.67
2016-05-17,413.0,1.67
2016-05-18,417.0,1.67
2016-05-19,417.0,1.67
2016-05-20,419.54,1.67
2016-05-24,425.99,1.68
2016-05-25,432.0,1.68
2016-05-27,434.77,1.68
2016-05-30,435.5,1.68
2016-05-31,432.5,1.68
2016-06-01,428.14,1.68
2016-06-02,429.48,1.68
2016-06-03,422.0,1.68
2016-06-06,425.79,1.68
2016-06-07,428.37,1.68
2016-06-08,421.8,1.68
2016-06-09,418.17,1.68
2016-06-10,413.38,1.68
2016-06-13,409.64,1.68
2016-06-14,406.3,1.68
2016-06-15,405.28,1.68
2016-06-16,405.0,1.69
2016-06-17,411.05,1.7
2016-06-20,419.0,1.7
2016-06-21,422.0,1.71
2016-06-22,424.0,1.71
2016-06-23,426.6,1.71
2016-06-24,412.5,1.71
2016-06-27,397.08,1.71
2016-06-28,403.97,1.71
2016-06-29,406.55,1.71
2016-06-30,407.4,1.71
2016-07-01,407.45,1.71
2016-07-04,413.5,1.71
2016-07-05,407.0,1.71
2016-07-06,398.07,1.71
2016-07-07,400.0,1.71
2016-07-08,408.09,1.71
2016-07-11,414.7,1.71
2016-07-12,421.28,1.71
2016-07-13,420.1,1.71
2016-07-14,425.32,1.71
2016-07-15,424.52,1.71
2016-07-18,423.47,1.71
2016-07-19,417.37,1.71
2016-07-20,424.09,1.71
2016-07-21,425.5,1.71
2016-07-22,425.0,1.71
2016-07-25,428.0,1.71
2016-07-26,429.18,1.71
2016-07-27,432.82,1.71
2016-07-28,432.0,1.71
2016-07-29,432.0,1.71
2016-08-01,431.14,1.71
2016-08-02,421.31,1.71
2016-08-03,418.55,1.71
2016-08-04,424.0,1.71
2016-08-05,422.6,1.71
2016-08-08,426.11,1.71
2016-08-09,433.22,1.71
2016-08-10,436.7,1.71
2016-08-11,435.82,1.71
2016-08-12,439.15,1.71
2016-08-16,437.0,1.71
2016-08-17,433.09,1.71
2016-08-18,437.65,1.71
2016-08-19,434.0,1.71
2016-08-22,432.75,1.71
2016-08-23,438.96,1.71
2016-08-24,437.35,1.71
2016-08-25,436.0,1.71
2016-08-26,434.75,1.71
2016-08-29,435.64,1.71
2016-08-30,444.6,1.71
2016-08-31,443.5,1.71
2016-09-01,440.45,1.71
2016-09-02,446.0,1.71
2016-09-05,446.94,1.71
2016-09-06,444.4,1.71
2016-09-07,444.62,1.71
2016-09-08,443.11,1.71
2016-09-09,440.0,1.71
2016-09-12,428.5,1.71
2016-09-13,435.42,1.71
2016-09-14,433.0,1.71
2016-09-15,431.0,1.71
2016-09-16,425.01,1.71
2016-09-19,427.11,1.71
2016-09-20,429.15,1.71
2016-09-21,432.05,1.71
2016-09-22,436.0,1.71
2016-09-23,436.05,1.71
2016-09-26,431.17,1.71
2016-09-27,424.52,1.71
2016-09-28,430.7,1.71
2016-09-29,435.0,1.71
2016-09-30,429.27,1.71
2016-10-03,433.0,1.71
2016-10-04,436.51,1.71
2016-10-05,435.06,1.71
2016-10-06,434.15,1.71
2016-10-07,431.58,1.71
2016-10-10,431.46,1.72
2016-10-11,436.62,1.72
2016-10-12,433.93,1.72
2016-10-13,426.92,1.72
2016-10-14,435.53,1.72
2016-10-17,435.05,1.72
2016-10-18,438.81,1.72
2016-10-19,440.32,1.72
2016-10-20,440.0,1.72
2016-10-21,442.43,1.72
2016-10-24,445.36,1.72
2016-10-25,446.57,1.72
2016-10-26,440.73,1.72
